Станция,Номер линии,Дата,4/3/2024,4/2/2024,4/1/2024,3/31/2024,3/30/2024,3/29/2024,3/28/2024,3/27/2024,3/26/2024,3/25/2024,3/24/2024,3/23/2024,3/22/2024,3/21/2024,3/20/2024,3/19/2024,3/18/2024,3/17/2024,3/16/2024,3/15/2024,3/14/2024,3/13/2024,3/12/2024,3/11/2024,3/10/2024,3/9/2024,3/8/2024,3/7/2024,3/6/2024,3/5/2024,3/4/2024,3/3/2024,3/2/2024,3/1/2024,2/29/2024,2/28/2024,2/27/2024,2/26/2024,2/25/2024,2/24/2024,2/23/2024,2/22/2024,2/21/2024,2/20/2024,2/19/2024,2/18/2024,2/17/2024,2/16/2024,2/15/2024,2/14/2024,2/13/2024,2/12/2024,2/11/2024,2/10/2024,2/9/2024,2/8/2024,2/7/2024,2/6/2024,2/5/2024,2/4/2024,2/3/2024,2/2/2024,2/1/2024,1/31/2024,1/30/2024,1/29/2024,1/28/2024,1/27/2024,1/26/2024,1/25/2024,1/24/2024,1/23/2024,1/22/2024,1/21/2024,1/20/2024,1/19/2024,1/18/2024,1/17/2024,1/16/2024,1/15/2024,1/14/2024,1/13/2024,1/12/2024,1/11/2024,1/10/2024,1/9/2024,1/8/2024,1/7/2024,1/6/2024,1/5/2024,1/4/2024,1/3/2024,1/2/2024,1/1/2024
Кропоткинская,8,СОКОЛЬНИЧЕСКАЯ,13207,5076,6340,19754,12302,7245,8657,15715,11039,19725,13375,9193,10795,6995,9642,14498,2765,10404,16936,15108,9005,10497,17489,1535,19713,12588,16997,12144,16408,17562,15040,8717,10088,10179,5402,16088,1571,17321,4271,16507,12506,4418,18917,5441,4679,12660,7850,19886,9448,12137,18828,15365,1432,13223,9526,19924,18649,16855,8286,1415,1083,13446,10483,19353,9378,8787,17678,9348,16109,16908,19222,14895,16925,14801,6466,19036,11609,16394,1197,16524,4539,14744,5297,10841,1198,17672,11767,11634,2985,7559,18383,4220,12429,2842
Парк культуры СЛ,8,СОКОЛЬНИЧЕСКАЯ,9390,12391,16353,11094,1190,11797,8137,17675,16131,19734,1903,4920,19997,15487,9609,9288,2532,15013,4942,12748,12290,7353,11548,15600,9606,7267,3053,1557,7213,5795,4206,11107,17471,3793,3183,10647,7681,7644,8447,11666,10987,1783,18338,3563,18640,1454,15932,5972,6776,12023,12770,3438,4198,4933,5468,7649,8342,8554,1247,7057,16919,15546,1752,12084,5459,14840,19491,12689,2570,17581,4190,10207,9797,11209,14595,13751,19842,15946,8021,1513,16155,2539,2324,7603,6567,1508,16240,18060,10186,8084,13101,5894,3961,18836
Фрунзенская,8,СОКОЛЬНИЧЕСКАЯ,8103,5998,15765,14406,17267,5586,13849,15681,5171,9655,14547,5580,8143,15603,5228,15568,13687,12613,5982,11414,17764,14334,12951,11749,7293,3105,8418,4853,13731,8752,19077,5125,7003,13965,6768,3578,7838,17158,14608,19624,18909,1774,17732,13542,13093,8255,16760,9459,3342,11442,14304,16504,8947,15083,7117,7703,18864,3984,1086,11313,19960,12131,19971,12627,16090,7224,18282,5272,2800,4061,4476,14898,12349,11494,15047,19989,12366,9809,4065,3682,7331,7003,1630,13793,5755,15493,10047,5340,19201,16654,5394,9248,3889,9375
Спортивная,8,СОКОЛЬНИЧЕСКАЯ,10651,5511,8655,4333,18431,13280,2284,15544,3218,12058,11620,10502,15800,6995,4949,1521,14367,12145,2636,1080,3715,8528,13644,17037,7360,9492,1434,3549,12538,8286,14940,2443,17294,17377,10038,11600,13509,1560,7444,2356,19883,11532,14273,8860,18246,18862,18412,6260,15033,14945,3581,10281,14110,19134,19766,16841,19062,12462,14428,19633,4884,3253,16600,17932,14298,14154,13143,8003,9557,2789,6838,6498,13633,4420,19318,4467,19190,4914,1849,10979,11429,17311,12226,14334,12623,10028,13495,8707,17702,19416,1975,7215,12772,3680
Воробьёвы горы,8,СОКОЛЬНИЧЕСКАЯ,18457,19841,9107,1419,5797,8557,11047,12786,16978,13674,15552,10840,1182,13729,17763,4688,12814,12673,3816,3925,5211,4687,14713,13826,11388,5935,8996,1900,19030,9401,16644,3494,8645,3470,5215,17025,13381,5603,5919,6471,12428,18132,2465,7286,7977,14766,11555,15064,6150,6550,15122,15855,19779,14373,10065,4097,17711,11460,15884,9808,7952,13183,13749,12579,10785,1425,9355,1165,16324,8907,2953,3103,7582,6923,11708,17807,19542,11968,19224,4426,7017,18187,14524,4121,14328,17558,8336,14097,1586,17335,3553,12061,6013,13898
Университет,8,СОКОЛЬНИЧЕСКАЯ,1015,18249,12055,2250,11633,5584,3226,18529,11615,3539,15538,18099,15045,11494,13302,5612,18785,6282,3522,8344,17609,4388,6706,4978,5363,12465,12123,7948,19345,18692,13502,16955,16754,3226,18974,9593,7006,9886,9665,16230,15984,7207,18796,10472,5873,13453,2576,17381,11967,14691,6329,2600,4628,12461,6531,12953,1327,13366,19341,17179,5802,6818,12981,12587,2106,3312,18795,5935,18958,1850,11202,19069,3884,16051,15824,10543,8596,4920,2240,16802,12104,6688,7438,10932,7408,1890,16501,13533,16816,14184,2853,16490,8994,16088
Пр-т Вернадск.СЛ,8,СОКОЛЬНИЧЕСКАЯ,4512,11774,5150,1565,19419,4240,18516,15556,2364,13628,14590,12441,2320,8628,14000,19929,12746,17949,9134,15137,15255,8821,12343,11070,7364,18258,14297,2846,11645,7502,14128,17763,5446,12074,15198,11151,9795,9494,18936,9672,17943,17750,17353,9085,11876,9782,1846,10223,14497,7377,16997,11267,4225,2784,11519,9789,3792,4509,1385,17657,2294,15043,7589,14698,9484,19084,17977,11562,5162,14359,13705,7257,17654,17432,6217,1042,14042,4659,11003,11603,4636,1364,7780,10809,2544,1288,5473,7743,8267,9052,4839,7202,17809,1444
Юго-западная,8,СОКОЛЬНИЧЕСКАЯ,12444,9441,10825,8413,3166,1856,2971,14547,19882,9497,12398,5775,9213,1659,11500,9919,15434,17482,17992,5576,18635,5259,11344,18176,10515,1391,4064,9454,11393,13625,12692,18263,3188,5444,1894,3833,17125,17257,13703,13827,8721,2606,9332,18690,8940,11061,5611,11884,13923,7031,10578,17383,3557,10753,10040,15793,14270,9517,3554,16559,10381,8299,16736,10504,15620,18248,8955,13831,10631,18548,4386,11051,4567,18069,3369,17470,14815,8277,6353,5873,6546,3851,2738,1888,9945,12939,16138,19587,8792,1511,3300,15831,10604,7446
Красногвардейск.,9,ЗАМОСКВОРЕЦКАЯ,3325,9598,5712,11851,11612,4936,2998,2318,2169,19976,17837,7690,7052,16600,5943,10279,3279,18684,15435,7495,4523,8614,8497,13340,6164,19935,11286,11458,16783,18864,10357,7375,14340,10775,10168,10383,12370,15073,17591,17239,3444,10774,13247,12851,19557,6001,7837,5217,6110,19220,12152,7528,6988,12489,4273,2383,19250,13011,7663,18977,9810,5422,15416,17668,18628,15017,1591,18352,15294,5243,14247,9005,18939,9966,8719,12248,13710,4734,6039,15166,16617,16890,17237,17345,3671,15250,14995,16153,3030,2123,13437,6051,18632,2297
Домодедовская,9,ЗАМОСКВОРЕЦКАЯ,12810,11461,8298,14433,17418,13710,5748,3680,4755,18514,9079,17401,19900,11721,13858,13971,4459,10610,13407,11054,3176,15661,14351,6247,16365,17019,13120,3056,9695,16108,15183,7186,8997,4284,13263,19169,19431,7560,13637,14723,1459,3251,16996,15999,5735,15010,15922,3941,3713,16403,10354,13481,12774,10763,4264,6597,8294,3128,8178,9894,11117,12657,12367,19854,15430,11919,3098,9144,19957,4065,8095,2468,7250,15623,19467,12626,18635,13204,12667,2524,3347,19021,5201,4815,18731,8597,12858,2001,15936,3786,11727,3426,16629,16104
Орехово,9,ЗАМОСКВОРЕЦКАЯ,15135,3636,18827,2148,3373,4193,16549,3324,17521,16917,7204,10395,9958,4242,5103,7033,15050,2273,5939,16406,1147,14512,7656,12177,5967,19480,2804,14916,6152,8259,14747,5713,14996,6714,8491,19080,6153,19359,10945,5063,6323,14534,19177,18448,17556,9464,7727,12261,1010,10768,2116,2591,17000,5218,9932,7959,16816,3274,3774,1520,12793,4702,5114,4699,3698,4150,8893,14729,4002,18143,3707,9761,11514,6658,19299,1042,9970,7716,19511,4598,6306,4512,3845,7843,7530,19363,9902,7679,2837,8454,7047,17104,19883,10173
Царицыно,9,ЗАМОСКВОРЕЦКАЯ,2211,10845,1137,4645,16686,2690,5458,7691,9090,18709,1112,8139,3481,19790,2153,5845,16793,15052,11799,7235,7320,14758,13911,15333,10143,8125,3475,19886,16230,11003,18397,9525,14793,7282,10212,4437,17986,4208,6418,8141,12922,5452,6400,14714,7206,11789,2816,5436,8596,4621,10418,10674,6091,3559,6113,10056,1676,14006,17578,6131,1739,18184,19272,19537,14300,8104,9200,17992,7342,19824,10684,2836,17227,13948,4722,11060,1742,10825,8024,7871,19462,10873,12317,1099,19737,15544,7301,19085,17501,9311,8101,10680,9485,13136
Кантемировская,9,ЗАМОСКВОРЕЦКАЯ,13849,10743,3170,16501,17475,13003,13626,16306,4367,4976,3876,17799,3617,4828,18817,8466,4573,3266,1754,5869,18745,1718,12268,19341,6309,17203,6402,15368,2584,6403,6059,13795,17297,4448,17678,7993,18071,8245,19964,12022,19679,6022,3609,13405,12154,16704,15259,3586,14245,12721,11583,1186,10763,4833,8902,14990,16217,5001,17327,15707,14519,4526,3399,15149,15563,9341,10826,8514,14147,9820,14678,1183,8624,16302,19222,1748,4784,17970,10262,17279,4186,5387,17463,18192,12225,4213,17839,12816,18040,3683,11768,15923,7451,6788
Коломенская,9,ЗАМОСКВОРЕЦКАЯ,6937,8057,14484,17522,9055,14337,16203,18005,15330,16854,2365,16729,3475,2757,11427,2786,7829,6996,10616,16339,1408,16896,3048,13139,18482,1596,11323,6640,15625,7727,6427,19406,6963,15917,13632,9729,1334,18913,13927,1893,2036,2214,4608,9212,10001,8983,19018,8529,5141,12403,4717,3524,8360,5506,5845,9989,13148,8835,1280,19175,16693,7078,14216,9782,4562,12425,15556,6335,2957,8650,15042,15491,6687,11788,15999,4108,18111,17709,14415,11964,6257,2673,7479,11445,8329,19464,6928,15834,10932,2127,12475,13968,1934,9918
Автозаводская,9,ЗАМОСКВОРЕЦКАЯ,15508,8627,10033,17791,2815,3521,11804,5001,10242,16374,2796,15748,14497,15265,6228,16682,2294,6188,7096,19329,2305,18996,10170,16698,5810,7207,16406,7876,12956,16286,16022,6446,14821,1557,9825,2078,4543,10440,9685,6116,2026,3440,12653,5133,13794,9499,10244,1596,1659,4058,14426,19749,8392,2469,8641,10626,3431,13366,16006,10458,19215,18907,10623,10306,6568,5908,6206,8539,3843,13628,5927,5642,9009,11870,10108,5016,10446,5102,5162,8437,16883,10495,6019,4884,12712,10338,17252,15913,9951,11520,1071,11398,13355,18747
Павелецкая ЗЛ,9,ЗАМОСКВОРЕЦКАЯ,5118,1121,18498,10780,9693,10573,14335,1096,3998,18090,2304,13293,11265,1730,8147,6308,9241,3771,18308,14031,19335,7669,19439,2346,5964,7635,11470,6705,12673,15074,9035,4993,14195,3813,3958,9066,14803,8429,11305,11699,14137,2252,19005,16358,10306,18141,10771,8026,2184,7367,3400,5367,12814,10640,11509,1671,17178,15164,9349,19288,17959,10535,12829,7155,14853,6960,16731,3104,2718,12387,4929,17742,1458,9865,1525,1505,15337,11631,14030,5329,5720,17141,3467,13357,12988,11144,13653,5326,17503,7665,12885,9253,3642,3376
Новокузнецкая,9,ЗАМОСКВОРЕЦКАЯ,6163,7997,5054,1759,15221,13122,13447,18038,7805,3720,6697,19135,8229,15726,3332,17739,11522,6700,13917,15982,13316,10049,13070,17115,7410,3215,19361,4602,13190,13325,4204,13268,18240,2212,17264,19325,3225,12353,10967,3207,18008,12101,15262,12685,1051,6125,13358,5358,8717,18568,2593,3695,10994,6684,17417,1161,17919,18972,11015,6306,1678,4318,5228,1166,13193,1935,16889,18768,9987,6885,19076,9510,3968,2264,19918,2310,2180,11598,6529,2267,9966,17286,7951,10763,12975,19765,8843,18335,1238,7728,3326,11523,11981,10920
Театральная(Зам),9,ЗАМОСКВОРЕЦКАЯ,19141,8635,8416,19282,19902,5641,11449,13844,19137,11362,17696,12326,10323,16759,8215,4361,19503,13871,19786,10937,10058,8864,5345,15784,16542,3730,15168,15352,12093,17304,5175,12702,7208,15994,17419,7458,5905,13511,5424,2913,3155,13980,4161,19135,5977,3769,3606,7171,1754,10144,4636,1643,5937,5429,8566,16737,7783,10540,8509,6725,13822,18597,5498,4633,5046,9286,16686,19737,6001,15286,1816,10083,17705,8857,10051,2768,1784,13164,5066,4744,8232,18916,2894,14805,2204,6728,10576,9043,12517,3435,12235,2609,14200,3859
Тверская,9,ЗАМОСКВОРЕЦКАЯ,4589,8409,18403,4795,7953,14811,19970,4986,6372,3770,16316,8183,13538,11298,2833,19006,9786,6543,1924,11199,7510,10067,9398,16580,8356,10501,2543,10941,2655,7141,7102,16244,12009,5206,7560,8951,18364,10438,13548,12713,9847,3098,19545,17126,19326,10453,14544,17371,9879,6643,1822,3333,19429,9434,7506,7015,6793,5185,11931,3941,5800,12521,11517,13448,5235,6270,18660,17398,12223,5980,6671,19699,3825,9303,8449,5844,19840,1904,13417,7044,8296,10371,3620,19687,13409,17438,7521,19112,14390,1261,8052,3256,4850,5951
Маяковская,9,ЗАМОСКВОРЕЦКАЯ,10517,15401,9623,10771,4210,9091,6240,2566,11040,16458,2589,6383,14529,12810,19880,11539,14724,1679,18957,8297,2860,9312,5251,16488,2442,12178,10864,5965,1902,9101,7366,3919,11101,6141,18102,13934,15267,8238,12083,19074,5874,15307,15112,14604,18230,9984,5785,12550,7093,6084,8075,3314,13283,3249,5703,11382,12389,19349,12294,8333,17550,18425,1084,14364,2590,1584,4827,9881,6352,13245,4637,13077,18990,17600,12245,16238,13434,14831,5987,4626,16417,10999,8655,12382,1966,5582,16957,8290,2548,8139,2722,13239,18142,3672
Белорусская ЗЛ,9,ЗАМОСКВОРЕЦКАЯ,6646,13164,5710,15495,10460,13767,5883,15186,11471,4599,4656,14297,5030,14849,13625,10774,15563,3709,5927,2605,9877,8609,12121,16996,10618,17416,13614,10894,12079,10380,17461,1563,19407,12964,13116,16358,18656,9609,14291,11860,6510,1012,12582,10183,11082,9667,17935,1304,17579,11448,6447,6987,5933,12538,16000,10656,8552,15279,8663,8135,3094,12668,18125,11316,15785,8153,1715,18979,19914,15413,15969,19188,14841,3821,10808,1744,19308,14305,15827,4162,19225,5197,13092,19599,6771,4299,7547,5068,6107,10348,7588,7052,12846,9558
Динамо,9,ЗАМОСКВОРЕЦКАЯ,10304,13884,18004,14565,13365,8506,4494,8305,11901,4360,1468,2643,17483,16280,15852,7884,7218,9941,18817,7334,17882,5479,10284,8124,16015,9771,16750,17681,17228,18166,7680,18840,2304,8650,16067,15727,2608,3469,9127,1768,8075,11218,14213,8103,13543,14119,2896,15154,15374,16903,4563,13690,1466,15469,19880,18080,18745,2430,11186,8744,5994,12470,19935,17942,2437,6283,12266,8941,14847,16719,13081,8091,2507,8647,11040,1668,17978,7630,14322,14124,7676,7829,18060,12380,1463,2677,12632,6851,16368,18427,19905,13537,1791,13138
Аэропорт,9,ЗАМОСКВОРЕЦКАЯ,5462,11923,9676,16191,12592,2413,14238,17953,2897,11290,13119,6330,9572,15303,5179,4081,7282,4887,1602,1470,16996,17957,7544,6516,19494,9015,13395,17767,16693,3466,12498,10088,13441,5169,6554,12827,4752,11632,3442,16990,2766,1459,17286,12634,13482,6655,10701,4174,8614,11075,3954,7808,6604,5867,17292,18450,10338,4029,19770,15325,5889,19935,6329,11043,6573,8705,10189,1289,3170,10570,17982,6333,16924,18091,9861,12126,7549,18615,14191,3740,19572,18882,9431,16333,19744,3730,10749,1505,17836,1747,15590,6244,17732,13172
Сокол,9,ЗАМОСКВОРЕЦКАЯ,4792,4221,13608,18818,19263,7171,1473,7050,15774,9873,4021,12746,16987,18472,18395,10277,8728,5134,6945,3502,15978,8818,18238,12049,2413,3880,10073,12572,15041,12235,8105,5558,2081,11592,18907,13893,14729,16421,18367,5785,9348,10240,10171,9488,1712,6966,12207,16684,17091,19462,16063,17825,11736,14280,16156,13846,1671,19542,2417,16799,1767,4797,9650,10665,16651,17575,18047,3995,14307,9227,11905,5677,18201,13196,17728,11969,15252,9081,9079,10175,17510,19297,3941,6414,4684,10246,15038,11489,15684,18296,12955,15448,17642,15751
Войковская,9,ЗАМОСКВОРЕЦКАЯ,7089,16737,11410,15262,15614,19603,11990,6499,14917,10244,8821,7155,9405,6390,11490,5220,7823,14685,14895,15347,8309,10053,16324,8356,10488,15304,17276,12776,2618,4068,18178,11690,19453,12162,15362,8428,7013,3105,14357,16590,6760,14651,1969,15993,12919,6219,2406,3452,13933,19859,4592,7741,13372,1362,8718,18772,17258,3213,10472,14981,2780,13490,5238,9950,14214,6688,10115,3272,15919,16076,5699,1010,10817,9374,14302,1994,16378,14290,9389,3177,15301,3536,7322,12494,4239,7506,2076,9058,12110,15434,19870,18288,3191,17564
Водный Стадион,9,ЗАМОСКВОРЕЦКАЯ,16794,2708,10709,5140,19335,14390,19706,17814,13590,4877,14608,7606,19191,16110,16977,6148,17888,5606,3794,18428,4289,14123,18181,11790,10147,10153,3419,12839,19891,12328,17890,13679,9032,4523,11306,2396,12978,12314,19593,16592,10943,2483,5682,13776,2658,6866,12363,19492,2944,2389,19086,13948,14427,4278,3810,8114,13011,16828,4210,8975,19712,13485,2502,3026,19407,17979,18033,14035,16203,19053,19978,14312,19168,1102,8612,16863,10269,12301,6739,4539,1917,6823,4958,12396,13467,7204,1933,10283,8207,8258,3204,6207,5251,10970
Речной вокзал,9,ЗАМОСКВОРЕЦКАЯ,11878,8643,18101,15721,3991,14953,8832,3439,7427,9975,16834,8596,6686,4758,16150,16368,4414,19455,1053,17906,15157,8873,5483,10597,2132,11549,5518,12830,6773,3061,13688,6078,18373,8702,18960,19515,7396,2518,9515,5371,16381,1601,18626,4430,12977,15132,11680,16665,15827,5708,1718,16969,4745,8953,14151,6237,15845,13583,13644,5569,1049,19205,8707,9491,18652,1553,19756,5992,16416,6783,13423,10786,14131,19785,14435,12420,14053,13756,8177,1606,9120,1703,15072,5534,2216,9018,2347,11109,9880,5792,5112,14595,1868,19049
Каширская,9,ЗАМОСКВОРЕЦКАЯ,5708,15683,5308,14251,8726,4668,13089,6668,7336,4571,13515,15999,2613,3301,6984,2869,10760,16074,18400,16802,9846,10085,2853,12727,6971,18630,18902,5066,11882,17015,11752,1392,7780,1491,2589,6020,7907,15400,13439,8657,5939,3148,7546,6340,5390,4306,8000,9041,9450,6039,16346,14834,19655,5062,15238,11880,8416,5246,7307,11430,10170,1627,12559,12880,15873,14638,9169,8620,13864,4942,17835,2073,8599,2882,3799,3354,3898,16402,18497,13920,13503,17378,10338,2503,17782,1392,15969,13032,9069,14267,1585,18104,4951,12810
Каховская,11,КАХОВСКАЯ,6072,19477,16945,11455,2136,12473,16279,11631,6410,6950,17831,16595,14331,11385,2851,14449,16851,2721,8072,8337,4517,11879,16883,4631,14771,9398,14264,8451,9447,13811,2274,5871,13012,19686,15084,4320,11855,8647,10230,19964,7868,8986,18839,3707,5604,18195,3301,1776,16842,13975,9823,10926,18141,15388,19716,10890,2319,12834,12155,11561,4443,7022,7074,12088,15113,15938,10383,9238,17744,12508,6133,1097,19357,5237,19155,17153,12428,8343,16810,13322,7251,15698,11350,13837,2766,16380,16798,8548,18717,16900,18281,8372,6024,16469
Варшавская,11,КАХОВСКАЯ,19342,12788,14576,17024,13852,8192,18656,18617,9452,7968,10094,7878,4646,17649,1998,15191,7985,5263,17800,5910,4035,5101,17169,14579,14671,11454,6464,6910,6617,17665,17176,11431,16853,18026,10890,8521,9193,7618,1830,6231,5190,5769,4089,2836,16665,6646,3617,14243,12571,14489,16263,4279,11612,4865,6917,18789,2363,1851,3721,10631,5536,3642,11624,11755,7607,16822,17768,13277,5055,5374,9689,4053,11943,4903,4894,16529,15796,7747,16925,5335,18747,16510,7571,4021,8645,17993,1812,17853,6861,4455,14334,11472,6434,5815
